,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
0,Almonds; in shell,"Legumes, beans, nuts",22540.99,0.0,121335892.44046988,1009392074.6289,-7421486.633486758,0.0,-7421486.633486758,0.004923956484977123,0.0,0.004923956484977123,0.0019307328753726178,0.0,0.0019307328753726178,22540.989999999998,3674.4871041928495,22540.989999999998
1,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw,Stimulants and spices,15007.35,0.0,140807040.75461018,489534790.3542,153609459.7524594,0.0,153609459.7524594,0.016865637126478455,0.0,0.016865637126478455,0.0021698958782379557,0.0,0.0021698958782379557,15007.35,678.589300632284,15007.35
2,Apples,Fruit and vegetables,1079455.9,0.0,385066206.9914377,21100753728.346302,408435872.4461206,0.0,408435872.4461206,0.021618387360662884,0.0,0.021618387360662884,0.004651116748987164,0.0,0.004651116748987164,1079455.9,106974.68360067083,1081134.4476773655
3,Apricots,Fruit and vegetables,48417.18,0.0,80281814.94272587,2847030979.1534,29057204.554690987,0.0,29057204.554690987,0.004132435040753557,0.0,0.004132435040753557,0.000331957424621815,0.0,0.000331957424621815,48417.17999999999,791.3711389483046,48443.91248838418
4,Areca nuts,"Legumes, beans, nuts",185.38,0.0,1437912.9436751357,3508432.3272,153433.6344071899,0.0,153433.6344071899,0.000569368794944277,0.0,0.000569368794944277,0.0005525647912597178,0.0,0.0005525647912597178,185.38,49.91232104333656,185.38
5,Artichokes,Fruit and vegetables,265.07447460674877,0.0,273348.8623021672,13316620.056797918,165189.5545253658,0.0,165189.5545253658,1.1275161709768407e-05,0.0,1.1275161709768407e-05,1.823459525459515e-05,0.0,1.823459525459515e-05,265.0744746067487,58.614642498414206,721.4323146879053
6,Asparagus,Fruit and vegetables,22796.4542962212,0.0,40735778.178731486,567684947.3299428,12135436.045378355,0.0,12135436.045378355,0.004616253709174253,0.0,0.004616253709174253,0.002942802965550016,0.0,0.002942802965550016,22796.4542962212,5689.152170123918,23259.523577744345
7,Avocados,Fruit and vegetables,113341.27,0.0,114149053.62063824,4042930509.9041,157967505.48989692,0.0,157967505.48989692,0.04226985242741395,0.0,0.04226985242741395,0.012899504077762407,0.0,0.012899504077762407,113341.27,9706.998812217784,113349.10506115938
8,Bambara beans; dry,"Legumes, beans, nuts",1.3279241460684597,0.0,21815.740858689984,34519.53969686773,1887.8404383508719,0.0,1887.8404383508719,1.585749960914266e-06,0.0,1.585749960914266e-06,5.183966132825007e-07,0.0,5.183966132825007e-07,1.3279241460684597,0.010593409157984632,86.09053422484808
9,Bananas,Fruit and vegetables,915418.71,0.0,284323744.7702873,5930472096.4381,805628185.8128598,0.0,805628185.8128598,0.22799884444289895,0.0,0.22799884444289895,0.14145187691094524,0.0,0.14145187691094524,915418.7100000002,6854.501809812451,915425.0889969805
