,kg,kgCO2,exp_extinctions,swwu,exp_extinctions_err,exp_extinctions_per_kg,kgCO2_per_kg,swwu_per_kg,exp_extinctions_per_kg_err,group_name_v7
Almonds; with shell,0.0007493130775274215,-0.00024670686554435214,1.63683360285831e-13,0.03355445709669228,4.825555242910141e-18,5.958662111595079e-14,-8.981015845608615e-05,0.012215027344750226,1.7566753971281146e-18,"Legumes, beans, nuts"
Anise; badian; fennel; coriander,6.497161506928848e-05,0.0006650244506883728,7.301673401898797e-14,0.0021193525813629935,6.992374674648578e-17,3.065535008500219e-13,0.0027920390612974867,0.008897891176335052,2.9356790118976405e-16,Stimulants and spices
Apples,0.01766673234483319,0.006684596599577662,3.5381367893561573e-13,0.34534191567523526,1.0413614139423526e-16,5.4629336934723006e-15,0.0001032111254176477,0.005332128459775626,1.6078768837942108e-18,Fruit and vegetables
Apricots,0.00012662433420930797,7.599263692601298e-05,1.0807462055795765e-14,0.007445774458747361,1.9190682102316652e-17,2.3281667577200417e-14,0.00016370497551527593,0.016039847737462302,4.1340980794493125e-17,Fruit and vegetables
Artichokes,3.0039239522608593e-05,1.8719903537985318e-05,1.2777438633363419e-15,0.0015090896251371533,4.3922287928615084e-20,1.1602789396555499e-14,0.0001699895452504343,0.013703567360733387,3.9884445644678054e-19,Fruit and vegetables
Asparagus,0.00016877070379770414,8.984318594712476e-05,3.417585810856755e-14,0.004202784645861289,3.0635698651013005e-16,5.523697741443367e-14,0.00014520969794634073,0.006792781027580727,4.951516913154486e-16,Fruit and vegetables
Avocados,0.0013660261231513867,0.0019038761353940999,5.094501114872059e-13,0.048726723201661284,1.3196033146558652e-14,1.0173026981273447e-13,0.00038017821289363296,0.009730064998758803,2.6350686400643035e-15,Fruit and vegetables
Bananas,0.003973362103432852,0.0034968178692416905,9.896257944475446e-13,0.02574113116330463,4.210592074549187e-16,6.793919562083872e-14,0.00024006143999255684,0.0017671646751908892,2.890630380062443e-17,Fruit and vegetables
Barley,0.005343732542685934,0.005936933894970896,3.456442509261146e-14,0.027797045409621128,3.2643279506141175e-18,1.7643801525798689e-15,0.0003030575021398084,0.0014189316064042012,1.6663131043387234e-19,"Grains, roots, starchy carbohydrates"
Beans; dry,0.007179100593191249,0.011348683483518206,2.8710785877097237e-12,0.14384389020653485,9.44043192633088e-16,1.0908940699027028e-13,0.00043120420201554034,0.005465487691272815,3.586983390088841e-17,"Legumes, beans, nuts"
Beans; green,0.0016511188893210944,0.002828095306502228,2.4549167363174722e-14,0.015347444122123672,4.8612222182715224e-18,4.055701283201757e-15,0.00046722194663121366,0.0025355095714299086,8.031093232981672e-19,Fruit and vegetables
Berries nes,0.0015357104319260338,0.0019183214174276913,9.040501995021437e-14,0.04055273283529117,7.78912882501812e-18,1.6057974034674932e-14,0.0003407372237534873,0.007203081546387856,1.3835252566036563e-18,Fruit and vegetables
