,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,12057.990000000002,0.003037807586379169,-0.26665403643541236,3.520452638871448e-10,2.519331651775436e-10,47.15702658833685
Anise; badian; fennel; coriander,11294.940000000002,0.0043762021554005805,10.359225794587585,1.16090928121594e-09,3.874480214503645e-10,37.08646096083733
Apples,1232835.6300000001,0.009502204615586738,0.37761210189374017,2.409021555837809e-11,7.70760057898938e-12,18.280408003315006
Apricots,60258.94,0.0007473643137216908,0.6023835354458226,6.415362729937504e-11,1.2402546638253026e-11,55.900796806234894
Areca nuts,342.99,0.00033338984107694856,1.203916201002445,1.3291848643976525e-09,9.720103824512334e-10,12.033812534767778
Artichokes,629.7029870667257,1.2024908197087056e-05,0.6377211585448312,4.6402245896414356e-11,1.909615873524966e-11,41.78508665130161
Asparagus,18517.742786456285,0.0019019931341104949,0.5577011241444411,1.7360524101182764e-10,1.0271193179665481e-10,27.667557236088708
Avocados,32992.98999999999,0.005593231670845247,1.0793876937301925,4.146263411426102e-10,1.695278806451082e-10,54.15888262904637
Bananas,1033460.91,0.44556050135813224,0.863374286743932,2.5321024399890725e-10,4.311343535558904e-10,8.37987958191481
Barley,3231999.774746665,0.008605431456996663,1.1112821654415201,1.2456581928936273e-11,2.6625717997369556e-12,4.856870519357302
Beans; dry,27265.680110190784,0.006456076658413642,1.5756160229152367,3.867087259709881e-10,2.3678399483608066e-10,26.394181448428018
Beans; green,18432.15954039381,0.002907853825994925,1.676305630776457,1.6386789237313388e-10,1.5775980126595613e-10,8.926086610720771
Berries nes,20670.029999999995,0.0016564059256014608,1.233678215671039,1.0243280759248901e-10,8.013563239150892e-11,22.425997203090663
Blueberries,4366.02,0.0002738093848331306,1.2549830835507265,8.052202671368765e-11,6.271372665107594e-11,26.497485710486895
Brazil nuts; with shell,3896.2200000000007,0.002016558628412582,6.184790910665414,1.7236478788576154e-09,5.17567957767421e-10,11.555084807018082
Broad beans; horse beans; dry,29340.96511022721,0.002781285267558802,1.7205174835637744,1.9157980878547847e-10,9.479188080931071e-11,4.782659398199776
Cabbages and other brassicas,319071.5898183086,0.00026530251696938915,0.6269204800174236,2.4411433958548758e-12,8.314827312593465e-13,11.043245657005139
Carrots and turnips,752123.9661061891,0.0012018743572220663,0.3739545933933898,2.8978685199647977e-11,1.5979737535080474e-12,7.117763917806846
Cashew nuts; with shell,8924.98,0.046560660076995886,0.6171380669381057,4.36359860977161e-09,5.216892371411015e-09,15.13898190249166
Cauliflowers and broccoli,330399.7102128509,0.002079977118263431,0.6271628762555959,1.2326715931506202e-11,6.295335782599396e-12,37.25196246557148
Cherries,18022.99,0.000505837779081203,0.6744975401165278,7.73930074035094e-11,2.8066251997099424e-11,53.11274956282504
Cherries; sour,507.97999999999996,7.087772038823998e-06,1.2284598194348628,2.2019380999977117e-11,1.3952856488097954e-11,30.504798681444157
Chestnut,1817.9800000000002,0.000260980183409758,0.5880952043153737,1.5413566506947394e-10,1.4355503548430564e-10,45.92533426984895
Chick peas,18616.26436170998,0.0054492893856021235,1.4197007192832227,3.2311970690535243e-10,2.927165880180692e-10,41.40060219398468
Chillies and peppers; dry,10108.96,0.00822242712049982,0.7895901475570856,6.732910158690143e-10,8.133801222380759e-10,34.74606463029827
Chillies and peppers; green,203633.52670567756,0.0016578844492587696,0.5454978790395071,9.468856615557779e-12,8.141510271316956e-12,38.69957660561032
Cinnamon (cannella),2588.99,0.010895684849643265,12.07362786121799,5.576099268100653e-09,4.208469267800673e-09,27.013608211850958
Cocoa; beans,159229.58000000002,0.9360639531423011,3.0843240299604737,5.482545484779893e-09,5.878706413358001e-09,13.446527389437312
Coconuts,64841.42981495659,0.07819695720682228,0.6530314912575419,1.4195699171307594e-09,1.2059721297013263e-09,13.774892765196638
Coffee; green,148074.47,0.5004552303169396,16.612713172509014,6.520280637042769e-09,3.3797536490722516e-09,14.148230261034195
Cranberries,14126.960000000001,0.0002881752881234127,1.287427156367751,7.56953612414909e-11,2.0398959728307625e-11,54.293535015360696
Cucumbers and gherkins,188582.23008550116,0.0004428287882557283,0.5379123232587332,1.8114487501195664e-12,2.3481999765033774e-12,28.780705775593624
Currants,17483.0,4.3807054884811095e-05,1.227036809374055,8.347977839679128e-12,2.5056943822462444e-12,5.022548148996168
Dates,14590.989999999998,0.0008658078259920529,0.57866738623388,1.1034097963179261e-10,5.933852507554683e-11,61.56478684706796
Eggplants (aubergines),19851.977524248643,0.0019449130930237293,0.6304676695170259,6.143337940375236e-11,9.797074828681785e-11,41.28328908296355
Eggs; hen; in shell,763848.0800000001,0.019052343089063704,7.5893801448651494,7.487385871237853e-11,2.4942581630975233e-11,23.549524786671473
Eggs; other bird; in shell,8414.94,0.00010132906863986504,5.861483941749627,3.192102919179658e-11,1.204156757384664e-11,17.608609959894846
Figs,13959.51,0.0008973269320007989,0.6105976023891535,1.5790656264844257e-10,6.428068979504286e-11,60.169752203881075
Fruit; fresh nes,297681.75,0.10795284969528063,0.7230310449903556,3.358216110197827e-10,3.626451728911182e-10,44.885012988428755
