,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,22540.989999999998,0.0021159791791939726,-0.3292440409000119,2.1844455301107554e-10,9.387250423313141e-11,44.78029024585434
Anise; badian; fennel; coriander,15007.35,0.009856938947286127,10.235615198716589,1.12382513411618e-09,6.568074275129272e-10,32.6196690524443
Apples,1079455.9,0.004567655773960284,0.3783719857810964,2.0027114920269446e-11,4.2314426869687626e-12,19.547582933537445
Apricots,48417.17999999999,0.0006369620540940317,0.6001424402390018,8.535059333801674e-11,1.3155703287428797e-11,58.8020818055368
Areca nuts,185.38,0.00036032162013714767,0.8276709159951986,3.07136042153564e-09,1.9436919847726167e-09,18.925624809580324
Artichokes,265.0744746067487,2.2015460803879095e-05,0.6231816728880922,4.2535825927772466e-11,8.305386943250622e-11,50.2372779444486
Asparagus,22796.4542962212,0.0024701114431569565,0.5323387526712853,2.0249875920131383e-10,1.0835507184845007e-10,24.90233524711094
Avocados,113341.27,0.024050807293389022,1.3937333284680586,3.7294316913348464e-10,2.1219814541860192e-10,35.67041828544978
Bananas,915418.7100000002,0.14900873809411036,0.8800652390127132,2.490650911459947e-10,1.6277659224827327e-10,6.478425699249798
Barley,882078.5252520033,0.0016847129253412228,1.1110088028445377,6.468217639357798e-12,1.90993531427365e-12,5.201803269077803
Beans; dry,12812.807904396996,0.0030683071139746944,1.5807946045889707,3.999217660263308e-10,2.394718735244394e-10,20.03647787620614
Beans; green,32818.66624953295,0.001659893846630081,1.7128356563500295,1.486820090421764e-11,5.057773627999594e-11,9.295178088862045
Berries nes,27110.38,0.0015962142889825932,1.2491426622802844,5.886853281111831e-11,5.887834434569317e-11,26.40649694905789
Blueberries,17993.44,0.0011491531478363122,1.256352565762633,3.9828454765219866e-11,6.386511683348554e-11,56.65304042988445
Brazil nuts; with shell,4276.73,0.0041815153830803845,6.470211045680525,1.859837761437901e-09,9.777365845120885e-10,11.314481281212515
Broad beans; horse beans; dry,7358.642049452178,0.0009289549698576791,1.7216980953619005,1.872759605311856e-10,1.2623999966499746e-10,4.611867196850972
Cabbages and other brassicas,242755.98760870693,0.00020104485215574597,0.6257933755378754,2.3211075600728956e-12,8.281766976631933e-13,12.427992241329209
Carrots and turnips,923550.0185071062,0.00429031512105482,0.37389696019080026,2.945377251468252e-11,4.6454604895033185e-12,6.587367300395281
Cashew nuts; with shell,21835.09,0.05255326511344189,0.5970405117398366,3.4239446995014044e-09,2.4068261277348473e-09,11.877456622844239
Cauliflowers and broccoli,267755.1448814958,0.001976430871492889,0.6282942647723193,1.6188092076927608e-11,7.381486067681822e-12,27.638365796237654
Cherries,17748.71,0.0019302238553282097,0.7689766069078071,1.6678963435948412e-10,1.087529096665735e-10,61.03080360236885
Cherries; sour,333.83,2.357414901871816e-05,1.2677372719376834,9.737503369724793e-11,7.061722738734734e-11,22.009957827936375
Chestnut,1239.2100000000003,8.891475026823087e-05,0.5654574176454563,1.254862356866448e-10,7.17511561948587e-11,53.294877280928965
Chick peas,590.1062756955805,0.00011961307356609199,1.3990828378959212,3.3524816307873794e-10,2.0269751143571478e-10,43.51743435851989
Chillies and peppers; dry,15088.879999999997,0.0030813074178012044,0.6788500685612642,3.739794214200529e-10,2.0421047935971423e-10,34.71029074365361
Chillies and peppers; green,244003.3002693648,0.0025748576951415093,0.538029313659455,8.99478656872572e-12,1.055255274129089e-11,46.9117140954084
Cinnamon (cannella),2992.08,0.011728217484251676,11.869884044877228,8.748572686405006e-09,3.919753978587363e-09,25.77917032525868
Cocoa; beans,202617.09,0.5288590202417136,2.4274111303420707,4.737429539258057e-09,2.6101402415843285e-09,10.705355700461892
Coconuts,78657.7496187203,0.043588995003816744,0.6468790520731129,1.8681400333257004e-09,5.541602094530644e-10,12.07443935182059
Coffee; green,167927.28000000003,0.34692379199926443,16.61812483836936,5.2060077568389246e-09,2.065916818275532e-09,12.837912739132676
Cranberries,42436.19000000001,0.0033342442574676077,1.3953866749828507,9.476921971946985e-11,7.85707731412176e-11,54.0827381686221
Cucumbers and gherkins,222109.28274938263,0.0002030249422547471,0.5362056270284266,1.7521544216008678e-12,9.140767992296415e-13,35.1587850086572
Currants,13671.590000000002,0.00010376020071021114,1.22702882113147,7.658483813461603e-12,7.58947574570413e-12,6.623165118058688
Dates,24952.750000000004,0.001930625774838096,0.6102545280088119,8.55920291864719e-11,7.737126267998901e-11,54.66471214696976
Eggplants (aubergines),27809.742342676625,0.00010256148788121006,0.6299591453394704,7.971868974900659e-12,3.687969727206712e-12,49.60982457714012
Eggs; hen; in shell,807105.9600000001,0.00885730381369845,6.835547772862533,5.899725971776898e-11,1.0974152407074838e-11,18.43007402372715
Eggs; other bird; in shell,12001.82,0.00013666639795957894,6.422319988582762,4.977060230947066e-11,1.138713944714876e-11,18.96157077835773
Figs,18245.899999999998,0.001054730348287675,0.6426300418869146,9.430459129598804e-11,5.780643039190586e-11,57.20586169764715
Fruit; fresh nes,497713.11,0.16420006908814683,0.8129691762383233,3.825773976142065e-10,3.299090696810193e-10,42.50726198405885
Fruit; tropical fresh nes,7700.200000000001,0.004191293568525035,1.2592772191398884,7.53246859402743e-10,5.443097021538446e-10,29.469987366626835
Garlic,28074.846505307854,0.0002651694717486959,0.42615004912588755,3.113344631262544e-11,9.445090704184713e-12,63.259013093613056
Ginger,29722.850000000002,0.002805621982222987,11.626011100540545,1.2301819913943926e-10,9.43927645640639e-11,39.33107845022936
Gooseberries,2310.67,1.0780727479116576e-05,1.227110132347538,6.510467867958385e-12,4.665628358491942e-12,4.727668618798877
Grain; mixed,17740.278991415893,0.002002291246191691,1.3310467613449461,9.161692663325502e-11,1.1286695362347758e-10,6.708444606810999
Grapefruit (inc. pomelos),31016.74,0.00046834725850127543,0.2994744165974329,5.86438323226148e-11,1.509982217671088e-11,54.78882284287775
Grapes,1731014.14,0.04298881453431212,1.6412348228452776,8.075455756350237e-11,2.4834467576511027e-11,51.303009166273824
Groundnuts; with shell,135623.00999999998,0.00804311282667832,3.2261459245706607,1.5585733937473056e-10,5.930492787822893e-11,24.409570197411934
Hazelnuts; with shell,3169.31,0.0005145208568774771,1.1962863419430734,6.506026403326358e-10,1.623447554443955e-10,56.82011363476592
Kiwi fruit,30985.390000000003,0.0003467467350414938,0.982507095706374,4.346415475657625e-11,1.1190652595997461e-11,59.4091184732837
Leeks; other alliaceous vegetables,55882.17422199314,6.917147523195537e-05,0.4184423737123443,2.9364144440759713e-12,1.237809304934525e-12,11.526230003352257
Lemons and limes,148914.90000000002,0.006097315921393856,0.3599168349823828,8.154073217356452e-11,4.094496871296193e-11,48.65043433082115
Lentils,339.7131653695999,2.781942312428951e-05,1.5969507408551458,1.5127246783530383e-10,8.189091845770133e-11,20.09059783051532
Lettuce and chicory,309483.0982145121,0.0006843757499026099,0.6254038211816108,6.046009352443179e-12,2.211350971510077e-12,49.11794513822535
Maize,653225.4269110484,0.02235638817818306,0.6807795718786133,2.0247950719974225e-11,3.422461413344125e-11,16.005521896835155
Maize; green,200658.05221856665,0.006473555726208276,1.6627197008616632,4.593424562605905e-11,3.22616294468809e-11,32.21816450693571
Mangoes; mangosteens; guavas,83876.84,0.01695426407141547,1.29661757448243,3.9456246531003924e-10,2.0213284228894973e-10,25.312473670150187
Meat nes,,,,,,
Meat; cattle,1136532.8599999999,0.6610249900543502,40.48097346896953,1.2919381929246757e-09,5.816153789467648e-10,37.41987744246481
Meat; buffalo,5003.230000000001,0.012577486352996348,37.740536305464886,2.3424449744440424e-09,2.5138733084420154e-09,1.5889127958938523
Milk; whole fresh buffalo,,,,,,
Meat; chicken,2223495.39,0.13524800827991573,10.943049069015013,2.3059417066612203e-10,6.08267545272112e-11,38.37799780953599
Meat; duck,35519.93,0.0026206862506216156,10.689780535432197,1.2232576019710353e-10,7.378072678132011e-11,29.648849841907566
Meat; goat,827.6,0.003980445564921905,29.86288784214441,3.752763928922676e-09,4.809624897199015e-09,156.69060720379403
Meat; goose and guinea fowl,2752.98,7.36097343211151e-05,9.338615975306096,9.211176568620187e-11,2.67382016291855e-11,22.745526695014163
