,kgCO2_per_kg,exp_extinctions_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,-0.34501511596456597,5.825663402321346e-11,44.589576129248066
Anise; badian; fennel; coriander,11.144035396136687,1.1024393326103067e-10,32.52898028251101
Apples,0.3783237698874826,3.381389166094215e-12,20.23652280492285
Apricots,0.6015063960001417,2.3831484015529567e-11,59.23067185762168
Areca nuts,1.2271105067163293,2.1291181944259965e-10,25.423189737962662
Artichokes,0.6339992514051789,7.609889956342633e-12,51.01727404888337
Asparagus,0.5309129585770299,7.090808874110608e-11,24.610038820368164
Avocados,1.419497394507423,1.1022123918350545e-10,36.34585931097005
Bananas,0.8798154237367101,5.093970049765265e-11,6.289556218011276
Barley,1.1116579712722485,2.9692330269795486e-12,4.547721223563935
Beans; dry,1.5965421216934386,8.19097288416871e-11,19.484524658342455
Beans; green,1.7218187508495653,3.707437417813389e-12,6.942605844763139
Berries nes,1.261702718028998,9.165237408909085e-12,24.784143012882573
Blueberries,1.2554466704098048,2.1535352808846354e-11,61.00325391946562
Brazil nuts; with shell,6.504083368323685,2.507269926089624e-10,8.072536470496061
Broad beans; horse beans; dry,1.7218187508495655,3.681748108411959e-12,4.60806
Cabbages and other brassicas,0.6272916062722838,9.318790474486197e-13,10.998740239020671
Carrots and turnips,0.3738536223896168,2.3346905954817764e-13,4.60806
Cashew nuts; with shell,0.523059822897111,4.887317564366537e-10,11.641142098946649
Cauliflowers and broccoli,0.628225706478593,5.822283217153104e-12,27.787730263066045
Cherries,0.7752469562429696,4.358700462502364e-11,62.00243081382489
Cherries; sour,1.2298647218883647,7.94585514389973e-12,23.543651454223074
Chestnut,0.550870930605941,5.5503118701299575e-11,53.946261853939454
Chick peas,1.3894629798615135,2.8784031496573815e-10,44.19234615381022
Chillies and peppers; dry,0.6739765836316742,5.44615793519752e-11,35.50028116012619
Chillies and peppers; green,0.5368365714302893,1.2675717908334943e-12,47.5377075397375
Cinnamon (cannella),11.870255115614059,1.526577712557792e-09,25.938860527626595
Cocoa; beans,2.094177810277219,8.101521078305664e-10,10.049312384123063
Coconuts,0.6454823373343991,1.7699995356820104e-10,11.91645384992906
Coffee; green,16.66393781324943,7.814057978747381e-10,12.379154784332043
Cranberries,1.2712531182717175,3.865210892214897e-12,32.298424690230846
Cucumbers and gherkins,0.535314920412261,6.122615026625282e-13,35.37834752893727
Currants,1.2270125644378462,4.960965665018456e-12,6.451244233170957
Dates,0.6055739111251721,1.4409629898312647e-11,55.08448843889192
Eggplants (aubergines),0.6253246294738772,9.70673154346012e-13,51.31039629440277
Eggs; hen; in shell,2.8048441225109935,1.0630503704408569e-11,8.733800481255043
Eggs; other bird; in shell,2.719992884957837,1.2772713991448414e-11,14.637364580065908
Figs,0.632517977187583,2.5735529314182578e-11,57.79956099293816
Fruit; fresh nes,0.9832350382591647,1.5438487540759957e-10,35.34572660652993
Fruit; tropical fresh nes,1.2751894071213836,1.4150581230595278e-10,28.01798424943555
Garlic,0.42596785816476274,8.468768613902936e-12,63.86325615964045
Ginger,11.73297164081939,1.7330420354976572e-11,41.503975651923895
Gooseberries,1.227012564437846,2.1782919225686224e-12,4.60806
Grain; mixed,1.32991955523569,5.4633139740111096e-12,5.6664775689965845
Grapefruit (inc. pomelos),0.2983453946966972,1.1466553140734326e-11,55.04544009877356
Grapes,1.6398802839355917,2.2070299147392963e-11,52.917393605150785
Groundnuts; with shell,3.2588517757938886,9.841557129396706e-11,23.505783174202517
Hazelnuts; with shell,1.144033065966147,1.434456549618796e-10,57.265242120275424
Kiwi fruit,0.9860946698749876,1.940353113510301e-11,59.5521995856906
Leeks; other alliaceous vegetables,0.4181158549647112,1.014925042096703e-12,10.65732828072298
Lemons and limes,0.3611120446277356,1.5572547521502067e-11,49.05011997336522
Lentils,1.6003348078020656,4.867226500611831e-11,19.99953740848873
Lettuce and chicory,0.6253246294738772,2.534257763754993e-12,49.57959673858716
Maize,0.6756111500354529,1.0367698347598357e-11,16.11703152128791
Maize; green,0.7035126042441292,1.212114048939725e-11,16.258228221566302
Mangoes; mangosteens; guavas,1.3176662806352772,6.658746574780959e-11,25.59387503226695
Meat nes,25.889288609840452,1.1408549647905367e-09,25.08019684757051
Meat; cattle,7.870824303950166,5.552840299369679e-11,7.809425324432808
Meat; chicken,2.558988773889409,2.2272424407113874e-11,8.471397152890487
Meat; duck,2.508116257419581,1.1711087349121279e-11,6.882071339832684
Meat; goat,9.808892335676079,3.836084667756366e-10,54.59904818204737
Meat; goose and guinea fowl,2.4193637473181533,1.0273872449848464e-11,8.815525429842955
Meat; horse,8.840884309255316,5.5230444304717276e-11,7.556732549744415
Meat; pig,2.8105203908076217,1.3276493686864461e-11,10.606479902426544
Meat; rabbit,0,0,0
Meat; sheep,10.419763706323605,4.6097242844284907e-10,11.182842431137939
Meat; turkey,2.5834761817853167,1.3886371249131443e-11,7.871593851618121
Melons; other (inc.cantaloupes),1.4035165233713303,2.6576899037345473e-11,24.76691962117869
Milk; whole fresh cow,1.9872205678411763,7.699596344659642e-12,6.147515290668453
Mushrooms and truffles,0.622697964235239,1.2778028792744838e-12,3.7326386237719733
Mustard seed,1.1368582762814292,5.423694140562854e-11,17.78693024982864
Nutmeg; mace and cardamoms,9.793197064095436,2.256198952311931e-09,14.90634843673332
Nuts nes,1.501602571760644,1.713195484680868e-10,42.67474135507694
Oats,1.6292962918712948,2.909939209039499e-12,4.532570989621969
Olives,6.034414957169531,4.799344769415043e-11,72.65760730997447
Onions; dry,0.4198996334477465,6.022257154079023e-13,19.97197246080955
Onions; shallots; green,0.41696300879693604,2.306945826002461e-12,8.588392669585325
Oranges,0.34617360658340096,1.0119345738815778e-11,43.708150245729215
Papayas,1.7420623350443674,9.747621572418484e-12,2.5603626710285434
Peaches and nectarines,0.5949126038684477,1.250860931376651e-11,70.41785035638665
Pears,0.5640326158755061,3.3890538797830715e-12,14.257672437942679
Peas; dry,0.7793915161565496,4.403905929363836e-12,5.727572340543324
