,kgCO2_per_kg,exp_extinctions_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,-0.293881085,1.11E-10,46.73666308
Anise; badian; fennel; coriander,10.91387188,1.47E-10,37.74952864
Apples,0.376764171,1.01E-11,17.63166444
Apricots,0.604713211,2.75E-11,56.27901681
Areca nuts,1.203823185,3.39E-10,12.0854573
Artichokes,0.483006002,9.74E-12,59.55902125
Asparagus,0.552379142,1.58E-10,28.06677245
Avocados,1.073443469,2.72E-10,55.36374784
Bananas,0.866031511,1.40E-10,7.871560632
Barley,1.111657971,7.79E-12,4.547063485
Beans; dry,1.58676856,1.59E-10,26.85272283
Beans; green,1.540361591,7.94E-11,29.1314614
Berries nes,1.227012564,1.50E-11,4.60806
Blueberries,1.257225381,2.67E-11,19.84048152
Brazil nuts; with shell,6.504083368,4.19E-10,8.680452614
Broad beans; horse beans; dry,1.721818751,5.64E-12,4.60806
Cabbages and other brassicas,0.627291606,1.69E-12,10.26411423
Carrots and turnips,0.373947598,5.16E-13,6.519810659
Cashew nuts; with shell,0.986134099,1.17E-09,16.89466062
Cauliflowers and broccoli,0.627291606,6.87E-12,38.31367939
Cherries,0.662415754,5.92E-11,54.62437129
Cherries; sour,1.227012564,2.17E-11,28.62953607
Chestnut,0.558620673,1.01E-10,46.61398144
Chick peas,1.389603808,9.68E-10,42.62710186
Chillies and peppers; dry,0.777150191,1.61E-10,35.85057486
Chillies and peppers; green,0.541506052,1.52E-12,39.47883428
Cinnamon (cannella),12.13757521,2.01E-09,26.9886291
Cocoa; beans,3.037994566,1.61E-09,12.77823594
Coconuts,0.651923331,1.85E-10,13.6340038
Coffee; green,16.65806422,2.23E-09,14.07940991
Cranberries,1.250383838,3.07E-10,68.15606449
Cucumbers and gherkins,0.536757785,6.50E-13,28.97452523
Currants,1.227012564,1.27E-11,4.60806
Dates,0.576426988,2.60E-11,61.77898572
Eggplants (aubergines),0.622296689,1.79E-11,43.09376066
Eggs; hen; in shell,6.368287855,4.31E-11,13.75658872
Eggs; other bird; in shell,6.708276591,5.98E-11,23.33277667
Figs,0.591864047,5.14E-11,61.15337331
Fruit; fresh nes,0.721772318,1.49E-10,44.87498888
Fruit; tropical fresh nes,1.124238922,7.26E-11,48.84459782
Garlic,0.425936336,1.64E-11,63.19279837
Ginger,12.52961754,3.38E-11,45.06214565
Gooseberries,1.227012564,8.31E-12,4.60806
Grain; mixed,1.329919555,8.79E-12,5.445568317
Grapefruit (inc. pomelos),0.367748727,1.62E-11,66.15149721
Grapes,1.620622508,5.41E-11,52.94822058
Groundnuts; with shell,3.05163095,2.33E-10,25.50587137
Hazelnuts; with shell,1.044441393,1.94E-10,60.22660578
Kiwi fruit,0.931462505,4.72E-11,52.54241013
Leeks; other alliaceous vegetables,0.418115855,1.58E-12,9.853657212
Lemons and limes,0.377110087,2.54E-11,50.89826267
Lentils,1.5706985,9.22E-11,25.40943706
Lettuce and chicory,0.625324629,4.20E-12,43.20601458
Maize,0.666315544,2.32E-11,17.64697789
Maize; green,0.683491505,2.36E-11,9.86569288
