,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,10977.910000000002,0.0010656749080802709,-0.32109400099709523,2.183717773134882e-10,9.70744803045635e-11,44.31080687126237
Anise; badian; fennel; coriander,12583.650000000001,0.0026387669534930934,11.240049781374037,1.2807061448641334e-09,2.0969805688278783e-10,34.34578183229031
Apples,1291862.8137845166,0.0038297553603597375,0.3756103394451807,1.360858674540826e-11,2.9645217119768747e-12,15.580199801951707
Apricots,51580.34372712512,0.0003274487825818644,0.596481967523699,6.400694496037083e-11,6.348324941651472e-12,58.09727876488548
Areca nuts,120.68,0.00016445272264027842,1.227110506716329,3.2323886781597433e-09,1.3627172906884192e-09,17.863354464700034
Artichokes,1606.0184089830536,6.107541488463822e-06,0.18221126700330234,8.649933271210257e-12,3.802908767609442e-12,13.666809504907826
Asparagus,21004.28528973288,0.001718423415939176,0.4472791880898866,1.668841693273212e-10,8.181299159839348e-11,18.219809506886698
Avocados,98016.66969940784,0.011929862268349257,1.39611939268436,3.8539552026059915e-10,1.2171258526672154e-10,44.1223081826624
Bananas,966243.797536264,0.15789922294836486,0.8780849959407151,2.586880774715798e-10,1.634155099892776e-10,6.547796872487608
Barley,7198271.032337161,0.003904197418982723,0.44586414347637343,2.2881640863397533e-12,5.423798855924842e-13,2.066572368900122
Beans; dry,94506.99227340448,0.009223175128997167,0.8013033480942056,1.726158985080232e-10,9.759251571899501e-11,10.255748079303244
Beans; green,23419.72909469166,4.269737775039064e-05,1.5562787542951566,7.637981281943597e-12,1.8231371327035753e-12,5.938411711006499
Berries nes,22629.416138709097,0.0004790332683785916,1.2508545947991667,2.909534252657816e-11,2.116860927574591e-11,30.785697216991533
Blueberries,16426.157027587346,0.00023736098053454087,1.2367972425659373,2.6064297964184974e-11,1.4450183334781147e-11,55.3163701942681
Brazil nuts; with shell,2866.0,0.0017339611415715709,6.504083368323686,1.8122908851639855e-09,6.050108658658657e-10,8.097365177250522
Broad beans; horse beans; dry,314164.97298853885,3.052322285406395e-05,0.10805033275064431,1.0941900267410192e-11,9.715667078894081e-14,0.29024425620995153
Cabbages and other brassicas,275657.1766733078,0.0001183188141995851,0.5080197359134441,1.889150609692696e-12,4.2922450134432524e-13,9.869276294813236
Carrots and turnips,1054089.3281908736,0.0008007115716391205,0.3175563977199377,2.4520707314293688e-11,7.596240187853684e-13,4.725508817173834
Cashew nuts; with shell,18463.1,0.10140899316905172,0.30830142437460095,4.13814564337029e-09,5.4925225541242654e-09,14.29125821527804
Cauliflowers and broccoli,314742.74620759557,0.0008083478049659401,0.5239205349425349,1.1158791630288395e-11,2.568280968206258e-12,26.247487011013778
Cherries,18647.04778153037,0.00034689450789477625,0.6923290867632995,6.801274586552308e-11,1.8603186518263237e-11,44.105309090740285
Cherries; sour,104.12965925699955,1.025161864981414e-06,0.7188658312127962,2.134226737210602e-11,9.845051566444102e-12,18.387889627817955
