,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,22540.989999999998,0.0019307328753727228,-0.3292440409000119,2.1844455301107554e-10,8.56543069036774e-11,44.78029024585434
Anise; badian; fennel; coriander,15007.35,0.0021698958782400252,10.235615198716589,1.12382513411618e-09,1.4458887666643513e-10,32.6196690524443
Apples,1079455.9,0.004651116748987166,0.3783719857810964,2.0027114920269446e-11,4.308760319886311e-12,19.547582933537445
Apricots,48417.17999999999,0.000331957424621815,0.6001424402390018,8.535059333801674e-11,6.8561908112330175e-12,58.8020818055368
Areca nuts,185.38,0.0005525647912601008,0.8276709159951986,3.07136042153564e-09,2.9807141615066392e-09,18.925624809580324
Artichokes,265.0744746067487,1.823459525459515e-05,0.6231816728880922,4.2535825927772466e-11,6.879046080029805e-11,50.2372779444486
Asparagus,22796.4542962212,0.002942802965550016,0.5323387526712853,2.0249875920131383e-10,1.2909038078074373e-10,24.90233524711094
Avocados,113341.27,0.012899504077762643,1.3937333284680586,3.7294316913348464e-10,1.1381118349708489e-10,35.67041828544978
Bananas,915418.7100000002,0.1414518769109453,0.8800652390127132,2.490650911459947e-10,1.5452150514920682e-10,6.478425699249798
Barley,882078.5252520033,0.0012792796310117068,1.1110088028445377,6.468217639357798e-12,1.450301299021225e-12,5.201803269077803
Beans; dry,12812.807904396996,0.0031444472731289004,1.5807946045889707,3.999217660263308e-10,2.4541437728492083e-10,20.03647787620614
Beans; green,32818.66624953295,0.00016547350025718872,1.7128356563500295,1.486820090421764e-11,5.042054390602897e-12,9.295178088862045
Berries nes,27110.38,0.0010142962876331172,1.2491426622802844,5.886853281111831e-11,3.74135769263698e-11,26.40649694905789
Blueberries,17993.44,0.0002815219201545781,1.256352565762633,3.9828454765219866e-11,1.5645808703315104e-11,56.65304042988445
Brazil nuts; with shell,4276.73,0.002222630050984545,6.470211045680525,1.859837761437901e-09,5.197031495990032e-10,11.314481281212515
Broad beans; horse beans; dry,7358.642049452178,7.551945705452882e-06,1.7216980953619005,1.872759605311856e-10,1.0262689304224403e-12,4.611867196850972
Cabbages and other brassicas,242755.98760870693,0.00013059766754050498,0.6257933755378754,2.3211075600728956e-12,5.379791815928862e-13,12.427992241329209
Carrots and turnips,923550.0185071062,0.0006599047686526152,0.37389696019080026,2.945377251468252e-11,7.145306214376278e-13,6.587367300395281
Cashew nuts; with shell,21835.09,0.10221194953886695,0.5970405117398366,3.4239446995014044e-09,4.681086706712313e-09,11.877456622844239
