,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,0.002635589439506477,-0.3459159184385589,5.459721537250101e-11,1.3362402072386438e-10,43.883952625294164
Anise; badian; fennel; coriander,0.00577017938458181,11.555763350029242,1.4288423196043082e-10,5.715369353066855e-10,33.524196166052796
Apples,0.011597836399611828,0.3760471351383822,2.4146647961511036e-12,9.615817903436108e-12,15.51489394010682
Apricots,0.0019509532758567893,0.5987684230622553,1.9350656670784935e-11,3.9734593998540444e-11,58.41433333462986
Areca nuts,9.423674123427303e-05,1.227110506716329,2.586466765926186e-10,7.315632866842498e-10,17.888883582077124
Artichokes,1.1352547784204846e-05,0.6337726143857543,7.0562734576290676e-12,1.995815525146728e-11,47.05913300148095
Asparagus,0.0027611254692216777,0.5381488887200214,6.941750804437317e-11,1.6800700758171268e-10,22.116947560062325
Avocados,0.04498139370179412,1.408219725560013,1.1783333288119303e-10,4.999244926216095e-10,44.536491866987504
Bananas,0.2284262917791321,0.8777566239078408,5.612856223760216e-11,2.5101456128533645e-10,6.064043453162784
Barley,0.0110043465611831,1.1116579712722485,2.6330625713308877e-12,1.7868810131587252e-11,4.60806
Beans; dry,0.0030941071721568604,1.5952138516459187,8.303276724553141e-11,3.106801704569193e-10,20.008250762522586
Beans; green,6.730360718947581e-05,1.7218187508495655,3.173599558178171e-12,4.488147536716832e-12,4.60806
Berries nes,0.0006060168506928724,1.245506670396558,8.599851033469057e-12,2.7772409949016636e-11,30.806777745986903
Blueberries,0.0008471139278568609,1.2363688445897978,1.3792106924000571e-11,5.160533875139039e-11,56.83193834532638
Brazil nuts; with shell,0.0017123573082492738,6.504083368323686,2.201798288470573e-10,4.3668944978167447e-10,8.042454262513125
Broad beans; horse beans; dry,0.0001094994420914,1.7218187508495655,3.4056170002810613e-12,4.816269750042462e-12,4.608060000000001
Cabbages and other brassicas,0.00029816957567228104,0.6272916062722839,9.87001371469537e-13,1.6580754429324615e-12,11.151836579671345
Carrots and turnips,0.0002504553852569,0.3738536223896168,2.276477281953027e-13,3.219425046572998e-13,4.60806
Cashew nuts; with shell,0.05241286997153308,0.22785801394797559,5.88763644525629e-10,2.630179332282704e-09,13.745423529035836
Cauliflowers and broccoli,0.0029334294712426443,0.6279898548324124,5.0083034281411985e-12,1.2917308476078796e-11,31.85325788430997
Cherries,0.0016900409357683763,0.7032963083762918,2.6953058377015264e-11,9.898584553708012e-11,46.21297276707947
Cherries; sour,1.2583831397374499e-05,1.2305033281308004,1.4300520631104637e-11,7.567124242801883e-11,31.494212024456523
Chestnut,0.00022994761982632803,0.47235097692689215,4.386227469200806e-11,1.6411760423336364e-10,51.715887940633834
Chick peas,0.027314814986655115,1.4406775587473217,3.497407000719607e-10,1.3989628133677035e-09,37.71318747948451
Chillies and peppers; dry,0.001476111058454036,0.6972545675636599,6.88240083581408e-11,1.6858370608724722e-10,34.71310642275972
Chillies and peppers; green,0.0005940228862486388,0.5341168190718998,1.0919882064978125e-12,2.6690605879380203e-12,43.37609245505553
Cinnamon (cannella),0.009792840817059794,12.112061124189363,1.3146048338600956e-09,4.157145505301104e-09,27.115356639600307
Cocoa; beans,0.6443072052245356,2.405903879112475,8.009985062076382e-10,3.344131201338284e-09,10.370203029152174
Coconuts,0.029985803555082367,0.6389113747985071,1.6854442566993123e-10,4.81728804626879e-10,11.57599494338177
Coffee; green,0.38423514462556185,16.67844432104705,6.592936959674683e-10,2.896665377643854e-09,12.292019841686866
Cranberries,0.0008196820394943,1.227012564437846,1.7494307893256928e-11,2.4740687486976302e-11,29.879539999999995
Cucumbers and gherkins,0.000275938855954893,0.5367577849746769,4.996823799789824e-13,1.2166734002216592e-12,36.02151391527629
Currants,6.33372949776019e-05,1.2270125644378462,3.260745178856619e-12,4.611390055381715e-12,4.520799898906151
Dates,0.0014717442652568864,0.5940994615766345,1.9982314659974485e-11,9.372536361672844e-11,58.766165484293396
Eggplants (aubergines),7.588692566570751e-05,0.6342231198255055,9.558351711018903e-13,2.703510124731003e-12,51.49348112553918
Eggs; hen; in shell,6.01037612353084,2.7998685204189857,1.0166037121854443e-11,3.31009096580083e-09,8.573426548318881
Eggs; other bird; in shell,0.02837576524236451,2.788183570344396,1.1349631312735183e-11,1.1211239808993905e-09,9.332437650801129
Figs,0.0010703933522244362,0.6019993316239913,3.032221012329925e-11,7.061680418987654e-11,57.68694992040749
Fruit; fresh nes,0.35591790641472404,0.9795179910160859,1.478470186358106e-10,8.13497961269933e-10,34.241430802041926
Fruit; tropical fresh nes,5.23286900793411e-06,1.296506835568907,4.542626762477976e-11,1.6996952994189972e-10,33.869951955912455
Garlic,0.0004049503652891076,0.4247874171539096,9.176774650308267e-12,1.835354937106941e-11,66.15796126611173
Ginger,0.0007725421421999971,12.20656443586785,1.3348126632364348e-11,3.775420449954618e-11,43.35584000425858
Gooseberries,6.840454462644654e-06,1.227012564437846,2.180231925921469e-12,3.0833135587569546e-12,4.60806
Grain; mixed,0.000415636115678689,1.3299195552356895,6.833267140562819e-12,1.7700283656754167e-11,7.3612707111543845
