,kgCO2_per_item,exp_extinctions_per_item,scarcity_weighted_water_use_litres_per_item,exp_extinctions_per_item_err
858,1.4756698556961283,1.1978643357390475e-11,5.219822596180525,1.2276239561622898e-12
21401,0.18551958638489058,3.909644694627746e-12,8.297455529140215,3.2512912503257584e-13
46984,0.29460486656891105,4.5948904461758765e-12,23.614825911516842,1.1126309018277087e-12
107172,0.2261203301097558,9.15848066606357e-13,1.4641907793889044,5.627761492600785e-14
111497,0.6060529792536884,1.4392506941162657e-11,4.371185814783335,1.9051099914472773e-14
136035,1.8963248354579385,4.659134785469451e-11,10.495366476796576,1.9500029048035602e-13
162100,0.9568311156473075,6.321966272385783e-12,4.981007784042699,1.602485326496291e-13
526311,0.7437103263652961,1.3531816264083859e-12,12.85322432116511,4.629009215536425e-13
854379,5.082031405382214,1.2512160987254193e-10,20.50397403994156,1.1580943658827254e-11
900153,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
981794,0.09673591646574545,2.7146212322987115e-13,6.554026255680094,3.491363140403462e-14
985548,4.659237690060811,4.206571836444773e-11,14.530764179137673,6.552168232819199e-12
27634,0.1934718329314909,5.429242464597423e-13,13.108052511360189,1.3965452561613849e-13
54996,4.44314892268126,6.077439855297636e-11,16.921902410982916,1.388606441013128e-13
156333,0.2877091205769367,1.4557136080792204e-11,36.349247785993875,1.5282449588183318e-12
156633,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
170058,0.9568311156473075,6.321966272385783e-12,4.981007784042699,1.602485326496291e-13
212213,0.14417060456485173,1.1132401120689334e-11,2.1453810029969205,1.56570664255965e-13
289671,0.5427375018382447,7.301939482866497e-11,40.63050382172251,6.003697725861304e-11
329923,0.765464892517846,5.0575730179086246e-12,3.9848062272341567,1.0255906089576259e-13
472870,0.1903509411726113,2.1956757691216464e-12,13.181529300544511,4.408896772200665e-13
487262,0.6752026187041016,2.1411542408411773e-11,8.636733479126507,5.645710168171289e-14
523938,5.429101381098081,6.599769231898904e-11,22.82294046133672,6.223350221985055e-12
804704,0.14064036395326618,3.3814135588875516e-13,1.842801626492964,4.505933487814975e-14
893090,6.705443824283206,5.4430955415982314e-11,23.718873877044302,2.5347900878905762e-11
900038,0.1580552992693287,4.6563853944884355e-11,1.1786034370477694,5.294662523652594e-12
940298,0.037815449535316376,5.530357331061003e-13,1.0271581263322875,5.950963307563672e-14
967507,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
252040,0.6117636887806637,2.7273093755582568e-11,19.238387478968853,3.4497890160998184e-12
252053,0.6117636887806637,2.7273093755582568e-11,19.238387478968853,3.4497890160998184e-12
717872,0.95273598493372,1.842530693812102e-11,4.117429778602891,2.551633337879905e-14
236935,0.3778846321125387,4.2232349813033354e-11,2.2148402312284086,4.8507118565343025e-14
531149,0.6005268286421049,9.136610075219123e-12,4.281070366613348,1.8480610662111583e-14
46384,2.074105288782121,5.0959286716072374e-11,11.47930708399627,2.332767146859742e-13
88450,0.28030366826207076,6.470987476548477e-11,9.762769384595353,1.8943465367757143e-13
100766,0.8156849183742183,3.6364125007443424e-11,25.651183305291806,6.132958250844122e-12
124014,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
211287,1.2395172106088268,2.255302710680643e-12,21.422040535275183,1.2858358932045624e-12
234316,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
259278,13.792761312387512,1.7043514139783315e-10,12.85033386435789,4.273614406759232e-11
333897,0.18551958638489058,3.909644694627746e-12,8.297455529140215,3.2512912503257584e-13
796208,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
