,Almonds; with shell,Anise; badian; fennel; coriander,Apples,Apricots,Artichokes,Asparagus,Avocados,Bananas,Barley,Beans; dry,Beans; green,Berries nes,Blueberries,Brazil nuts; with shell,Broad beans; horse beans; dry,"Butter, Cream & Ghee",Cabbages and other brassicas,Carrots and turnips,Cashew nuts; with shell,Cassava,Cauliflowers and broccoli,Cheese,Cherries,Chestnut,Chillies and peppers; green,Cocoa; beans,Coconuts,Coffee; green,Cranberries,Crustaceans,Cucumbers and gherkins,Currants,Dates,Eggplants (aubergines),Eggs; hen; in shell,Eggs; other bird; in shell,Figs,Fish,Fruit; fresh nes,Fruit; tropical fresh nes,Garlic,Ginger,Gooseberries,Grain; mixed,Grapefruit (inc. pomelos),Grapes,Groundnuts; with shell,Hazelnuts; with shell,Kiwi fruit,Leeks; other alliaceous vegetables,Lemons and limes,Lentils,Lettuce and chicory,Maize,Mangoes; mangosteens; guavas,Meat; cattle,Meat; chicken,Meat; duck,Meat; pig,Meat; rabbit,Meat; sheep,Meat; turkey,Melons; other (inc.cantaloupes),Milk; whole fresh cow,Mushrooms and truffles,Nuts nes,Oats,Oil palm fruit,Olives,Onions; dry,Onions; shallots; green,Oranges,Peaches and nectarines,Pears,Peas; green,Pepper (piper spp.),Persimmons,Pineapples,Pistachios,Plums and sloes,Potatoes,Pulses nes,Pumpkins; squash and gourds,Quinoa,Rapeseed,Raspberries,Rice; paddy,Soybeans,Spices nes,Spinach,Strawberries,Sugar beet,Sugar cane,Sunflower seed,Tangerines; mandarins; clementines; satsumas,Tea,Tomatoes,Vegetables; fresh nes,Vegetables; leguminous nes,Walnuts; with shell,Water,Watermelons,Wheat,nan
CEREAL BARS,2.47936171119375,0.0,1.16875529886019,0.0,0.0,0.0,0.0,0.155411452457203,0.235363163837742,0.698234217787057,0.0,0.8115680047262381,0.0568420302845919,0.0,0.0,0.78152461317255,0.0,0.0745176383166046,2.84743164846849,0.301925136833405,0.0,0.0,0.0,0.0,0.0,3.52064806891791,0.0,0.0002235896001202,0.333150370561372,0.0,0.0,0.0115390142166911,0.0,0.0,0.0626945774944067,0.0,0.0,0.0,7.5779850912134,0.0,0.0,0.0,0.0,1.2295238749197923,0.0663856379928591,3.17187007248671,6.16566231868004,0.155640143593215,0.0369628350830174,0.0,0.009156604103606305,0.0,0.876951310363085,0.826714144329388,0.0,0.0763637932457294,0.0072437817997192,0.0,0.0053516773948339,0.0,0.0,0.0,0.0369628350830174,1.67877248841845,0.0004694417189021,0.459268791072246,13.793543463641,1.69498873359356,0.0,3.39102415686052e-05,0.0,0.0548099141523033,0.446114743370602,0.0050600365942869,0.0430129277117763,0.0002721085120203,0.0,0.0,9.31615867878988e-07,0.0,0.0,0.0,0.116333905764369,0.0,0.387366737656538,0.0551464312470231,6.03562954174729,4.7584721563654e-06,0.0003507638134238,0.0,0.124604314610823,0.0168116365092991,9.8657638366497,1.665415716028361,0.0,0.0,0.0,0.220008474657311,0.0,0.0527395551355718,1.12537381130727,0.0,3.089672860681,0.0
FLOUR-BREAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510987308194083,0.020455643287405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895014941426556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56533217081166,0.484802930303738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010502605791707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283522402062897,0.0,0.0,0.230542225233596,0.216780066246097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126775735534257,0.0,0.0521346346333842,0.0,1.30522695254937,0.0,0.0,0.0,0.0,0.589224259058169,0.0898926898311855,0.176535213955666,0.0,0.0,0.0,0.0026820389245082,0.0,0.0,0.59586060052111,0.0,88.5158247000878,0.0
ICE CREAM WAFERS,0.0,0.0,0.0015618001189612,0.0,0.0,0.0,0.0,0.0,0.0,3.79829214338781,0.0,0.0,0.0,0.0,0.0,0.256993794163023,0.0,0.0089646335167032,0.0,0.0014796902991815,0.0,0.0,0.0,0.0,0.0,0.3391489066041417,0.0,0.0,0.0,0.0,0.0,0.0005701226590991,0.0,0.0,0.48245708593854,0.0,0.0,0.0,0.685516837200034,0.0,0.0,0.0,0.0,0.0001001105016454,2.74751772500755,0.130407065639719,0.0,0.0,0.0,0.0,0.000335117191486,0.0,0.11694041040792,0.500854631958433,0.0,0.0923964923853677,0.0,0.0,0.0923964923853677,0.0,0.0,0.0,0.0,2.08098827913428,0.0,0.0,0.0,5.12092509678311,0.0,0.0,0.0,0.0,0.0280273019697203,0.0804910233937774,0.0059253182683298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.52819137419293,0.075023334567366,0.121272234647569,0.0,0.0,0.0,0.0,0.0,12.3759028129966,0.133427888153615,0.0,0.0,0.0,0.0428865725256891,0.0,0.0,1.82022274380645,0.0,48.3509613386617,0.0
BABY FOODS-WET,0.0625542803725944,0.0,3.03399144735143,0.0,0.0,0.0,0.0,2.73883892572906,0.0,0.310016801005087,0.0,0.0,0.0973227953794655,0.0,0.0,1.38771679164085,0.0,4.7632904159905,0.0,0.0,0.172396218594579,1.437125115302168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110038776169974,0.0,0.0,0.0,0.0,0.0199653316332504,0.0,0.0,2.041686733645245,3.34694635018714,0.0,0.0,0.0,0.0,0.0059885966774704,11.2818122133284,0.19697656562832971,0.0,0.0,0.0,0.468028867135826,0.3727800063193852,0.153509629019662,0.0501256243496236,1.02262368816961,0.0,6.23495133675988,5.69444528037958,0.0,0.102832946078521,0.0,0.0,0.0,0.0,2.61351671011634,0.127438813326487,0.0,0.0,0.696566522475059,0.0250930840814789,4.63757512890353,0.0,0.0,0.0,0.0,0.446492354360414,2.74401593762615,0.0,0.0,0.0,0.0,0.0,0.0,0.778084695342833,0.0,0.933954220827953,0.0,7.27400336461068,0.0,1.01816116194417,0.0,1.12206634367742,0.0,0.235597806952169,0.275576060015982,0.0,0.0,9.69556380589594,2.723788688473902,0.0,0.0,13.1184263110279,0.0,4.354416153424335,0.0
FRUIT - BANANAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3288004945742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150127491693721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48448344587381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555917773752569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRUIT - MELONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148380999842855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148380999842855,0.0,0.0,0.0,0.0,0.0,0.0,0.840515888693247,0.0,0.0,0.0,0.0,0.011768923361421,0.0,2.17883345665867,0.0,0.0,0.215498481499993,0.0,0.498978308877412,0.0,0.0,0.411580737444431,0.0,0.0,0.0,0.0,0.0554213462920317,0.0,0.0,0.0,87.2010985730802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8280014171711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166540783193029,0.0,0.0,0.0,0.0,0.17958206791666,0.0,0.661426689706921,0.0,0.0,0.0,0.0,0.0114083759611416,0.0,0.0,2.57996268257261,0.0,0.0,0.0
FRUIT - NECTARINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125666372503797,0.0,0.0,0.0,0.0,0.0,0.0,0.905306031175611,0.0,0.0,0.0,0.0,0.0263871664472851,0.0,0.0,0.0,0.0,5.80242627638488,0.0,0.5974803131100377,0.0,0.0,0.212452886244804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18486101589113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330183063705071,72.3882207841821,0.534699754906346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227924718104435,0.0,0.0,0.0,0.0,0.0,0.0,2.88463648280007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67432334542852,0.0,1.67432334542852,0.0
FRUIT - PEACHES,0.0,0.0,2.47658644876845,0.0,0.0,0.0,0.0,0.438702859722314,0.312345402850471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195786859887442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00020642876481,0.0,0.0,0.0,0.0,0.0,0.0,3.90315821187967,0.0,0.0,3.12345402850471,0.0,0.29768461011359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21932339990984,48.7862359538915,5.89144433994704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379500819543417,1.49925793368226,0.0,0.0,0.0,0.353008627984,0.0,6.21698577709683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2736595561416,0.0,1.09320890997665,0.0
FRUIT - PLUMS,0.0,0.0,4.58488826290044,0.0,0.0,0.0,0.0,0.167310535814133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24384085296735,0.0,0.0,0.0,1.20712393869013,0.0,0.953250514477824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812283050878385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032654828868498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02759099076858,0.0,0.0696249806547905,0.0,0.0653125339629071,1.131678692522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6663219027022,0.3395036077566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377226230840667,0.0,0.0,0.0,0.0,0.0,4.983816199348,1.20712393869013,0.0,0.0,0.0,0.0648276622186054,0.0,0.0,1.11281724533281,0.0,0.0,0.0
FRUIT - GRAPES,0.0,0.0,0.631910863446834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745847844373819,3.07780780256486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627948824203682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007824281904552,0.0,0.0,0.0,0.0,0.0,0.0,0.743805168907255,0.0,0.0,0.0,0.0,0.000312677325555,0.0,82.0421956765467,0.0,0.0,0.0,0.0,0.005411210397838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60039646678132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064171314630166,0.0615599176512233,0.0010910625649446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008595867840775,0.0,0.0,0.0,0.0,4.8689150111337,0.0,0.19580267160808,0.001243079740623,0.0,0.0,0.0,0.0091078183947827,0.0,0.0,1.14083532903645,0.0,0.0830594678481497,0.0
