BACON - FRESH+FROZEN,Meat; pig
"BREAD - ROLLS, BAPS+CROISSANTS",BREAD - LOOSE ROLLS
BREAKFAST CEREALS,CEREAL BARS
CAKES & PASTRIES,cakes+desserts - frozen
CHEESE - NATURAL,Cheese
Cooked Meat - Slcd Ham-Loose,Cooked Meat - Slcd Ham-Prpckd
Cooked Meat - Slcd Mt+Plt-Lse,cooked meat - slcd mt+plt-ppkd
COOKING SAUCES AND CONDIMENTS,dips - ambient
CREAM-DAIRY AND NON DAIRY,"Butter, Cream & Ghee"
FISH - FRESH WET/SMOKED/SHELL,Fish - Fresh Prcsd Cmplt Mls
Meat - Fresh Prcsd Cmplt Mls,meat - fresh prcsd snacks
Meat - Fresh Prcsd Ml Accmp,meat - fresh prcsd snacks
Meat - Fresh Primary,meat - fresh prcsd snacks
Meat - Frozen Prcsd Cmplt Mls,meat - frozen prcsd products
Meat - Frozen Primary,meat - fresh primary
Meat+Pastry Products - Loose,meat - frozen meat+pastry
Meat+Pastry Products - Prpckd,meat - frozen meat+pastry
MISCELLANEOUS FOODS - FROZEN,defined ambient meals
PASTE+SPREADS,sandwich spread
PIZZA - FRESH+AMBIENT,defined ambient meals
PIZZA - FROZEN,defined ambient meals
Poultry - Fresh Prcsd Ctd/Flv,poultry - fresh prcsd ckd/flv
Poultry - Fresh Prcsd Ml Accmp,poultry - fresh prcsd ckd/flv
Poultry - Fresh Prcsd Unck/Flv,poultry - fresh prcsd ckd/flv
Poultry - Fresh Primary,poultry - fresh prcsd ckd/flv
READY TO SERVE DESSERTS,cakes+desserts - frozen
SAUCES-TABLE & KETCHUPS,dips - ambient
SAUSAGES - FRNKFRTR/CNTNTL SSG,sausages - fresh
SOFT DRINKS-CRBNTD FLVRS BTTLS,soft drinks-crbntd flvrs cnnd
SOFT DRINKS-MIXERS,soft drinks-frt jce/drnks
SUGAR CONF-CANDY,sugar conf-candy mini
