mapped_tag,t3_category,t2_category,t1_category
alcohol-alcopops,Alcoholic Drinks and Mixers,,Beverage
alcohol-beer bitter,Alcoholic Drinks and Mixers,,Beverage
alcohol-beer lgr >4.3 abv stgh,Alcoholic Drinks and Mixers,,Beverage
alcohol-beer other beers,Alcoholic Drinks and Mixers,,Beverage
alcohol-beer stout,Alcoholic Drinks and Mixers,,Beverage
alcohol-beer-lgr <4.2 abv stgh,Alcoholic Drinks and Mixers,,Beverage
alcohol-beer-low alcohol,Alcoholic Drinks and Mixers,,Beverage
alcohol-chmpgne/spkl wine/prry,Alcoholic Drinks and Mixers,,Beverage
alcohol-cider-all other types,Alcoholic Drinks and Mixers,,Beverage
alcohol-cider-style/high stgth,Alcoholic Drinks and Mixers,,Beverage
alcohol-gin,Alcoholic Drinks and Mixers,,Beverage
alcohol-othr spirit bsd drnks,Alcoholic Drinks and Mixers,,Beverage
alcohol-othr spirits & liqueur,Alcoholic Drinks and Mixers,,Beverage
alcohol-port/sherry/vermouth,Alcoholic Drinks and Mixers,,Beverage
alcohol-rum,Alcoholic Drinks and Mixers,,Beverage
alcohol-vodka,Alcoholic Drinks and Mixers,,Beverage
alcohol-wine based drinks,Alcoholic Drinks and Mixers,,Beverage
soft drinks-mixers,Alcoholic Drinks and Mixers,,Beverage
soft drinks-shandies,Alcoholic Drinks and Mixers,,Beverage
wine,Alcoholic Drinks and Mixers,,Beverage
biscuits - chocolate bisc bars,Biscuits and Cereal Bars,,Snacks and Desserts
biscuits - chocolate coated,Biscuits and Cereal Bars,,Snacks and Desserts
biscuits - plain+savoury,Biscuits and Cereal Bars,,Snacks and Desserts
biscuits - seasonal,Biscuits and Cereal Bars,,Snacks and Desserts
biscuits - sweet,Biscuits and Cereal Bars,,Snacks and Desserts
cereal bars,Biscuits and Cereal Bars,,Snacks and Desserts
fruit bars,Biscuits and Cereal Bars,,Snacks and Desserts
biscuits - isb cookies,Biscuits and Cereal Bars,,Snacks and Desserts
bread substitutes,Bread & Rolls,,Cereals and Bread
bread - dietary,Bread & Rolls,,Cereals and Bread
bread - loose,Bread & Rolls,,Cereals and Bread
bread - loose rolls,Bread & Rolls,,Cereals and Bread
bread - prepkd(400g+) / spclty,Bread & Rolls,,Cereals and Bread
"bread - rolls, baps+croissants",Bread & Rolls,,Cereals and Bread
breakfast cereals,Breakfast Cereals,,Cereals and Bread
butter,Butter and Margarine,,"Dairy, Eggs, Meat and Plant-based Alternatives"
margarine,Butter and Margarine,,"Dairy, Eggs, Meat and Plant-based Alternatives"
"Butter, Cream & Ghee",Butter and Margarine,,"Dairy, Eggs, Meat and Plant-based Alternatives"
cakes & pastries,Cakes and Pastries,,Snacks and Desserts
toaster pastries,Cakes and Pastries,,Snacks and Desserts
fresh/chilled pastry,Cakes and Pastries,,Snacks and Desserts
buns teacakes and scones,Cakes and Pastries,,Snacks and Desserts
cheese - natural,Cheese,,"Dairy, Eggs, Meat and Plant-based Alternatives"
cheese - processed,Cheese,,"Dairy, Eggs, Meat and Plant-based Alternatives"
cheese-cottage,Cheese,,"Dairy, Eggs, Meat and Plant-based Alternatives"
fromage frais - plain,Cheese,,"Dairy, Eggs, Meat and Plant-based Alternatives"
Cheese,Cheese,,"Dairy, Eggs, Meat and Plant-based Alternatives"
choc conf - other novelties,Chocolate and Confectionery,,Snacks and Desserts
choc conf-bite size,Chocolate and Confectionery,,Snacks and Desserts
choc conf-bite size mini,Chocolate and Confectionery,,Snacks and Desserts
choc conf-bite size multi,Chocolate and Confectionery,,Snacks and Desserts
choc conf-countline chocolate,Chocolate and Confectionery,,Snacks and Desserts
choc conf-countlines mini chc,Chocolate and Confectionery,,Snacks and Desserts
choc conf-countlines multi chc,Chocolate and Confectionery,,Snacks and Desserts
choc conf-creme eggs,Chocolate and Confectionery,,Snacks and Desserts
choc conf-easter eggs,Chocolate and Confectionery,,Snacks and Desserts
choc conf-easter novelties,Chocolate and Confectionery,,Snacks and Desserts
choc conf-mini eggs,Chocolate and Confectionery,,Snacks and Desserts
choc conf-moulded chocolate,Chocolate and Confectionery,,Snacks and Desserts
choc conf-moulded mini chc,Chocolate and Confectionery,,Snacks and Desserts
choc conf-moulded multi chc,Chocolate and Confectionery,,Snacks and Desserts
choc conf-othr assrts/liqueurs,Chocolate and Confectionery,,Snacks and Desserts
choc conf-pralines,Chocolate and Confectionery,,Snacks and Desserts
choc conf-twst wrap assrtmnts,Chocolate and Confectionery,,Snacks and Desserts
choc conf-xms slctn pck/nvlts,Chocolate and Confectionery,,Snacks and Desserts
coffee-beans,Coffee,,Beverage
coffee-instant,Coffee,,Beverage
coffee-liquid & ground,Coffee,,Beverage
Coffee; green,Coffee,,Beverage
bkng ingrdnt+cake dcrtn,Cooking and Baking Ingredients,,Kitchen Accessories
cooking oils,Cooking and Baking Ingredients,,Kitchen Accessories
gravy & stock,Cooking and Baking Ingredients,,Kitchen Accessories
herbs and spices,Cooking and Baking Ingredients,,Kitchen Accessories
lemon and lime juices,Cooking and Baking Ingredients,,Kitchen Accessories
mincemeat(sweet),Cooking and Baking Ingredients,,Kitchen Accessories
salt,Cooking and Baking Ingredients,,Kitchen Accessories
vinegar,Cooking and Baking Ingredients,,Kitchen Accessories
Cinnamon (cannella),Cooking and Baking Ingredients,,Kitchen Accessories
