house,individ,size,sclass,lifestge,hhincome,child,region,age,sex,bmi,ethnicity,terageed,main_flag,num_adult,active_periods_th,area_code
761679,0,2,5,6,3,0,3,64,1,243,1,2,1,2,13,BL6
761679,1,2,5,6,3,0,3,65,2,342,1,2,0,2,13,BL6
630677,0,2,3,7,5,0,3,65,2,0,1,2,1,2,13,M6
630677,1,2,3,7,5,0,3,66,1,0,1,2,0,2,13,M6
304107,0,2,3,7,0,0,4,72,1,287,1,2,1,2,13,B26
304107,1,2,3,7,0,0,4,74,2,0,1,2,0,2,13,B26
932744,0,2,4,7,0,0,3,68,2,0,1,2,1,2,13,BL5
932744,1,2,4,7,0,0,3,67,1,0,1,2,0,2,13,BL5
295845,0,2,4,6,0,0,4,63,1,221,1,3,1,2,10,B29
126054,0,2,1,7,2,0,4,79,1,196,1,2,1,2,11,WS4
382553,0,2,4,7,0,0,4,68,1,0,1,2,1,2,13,B90
345166,0,3,1,5,8,0,4,55,1,0,6,3,1,3,12,B75
345166,1,3,1,5,8,0,4,64,2,207,6,3,0,3,12,B75
867187,0,2,3,6,2,0,3,57,1,327,1,2,1,2,5,M30
871805,0,2,3,7,0,0,4,82,1,203,1,1,1,2,13,B26
871805,1,2,3,7,0,0,4,82,2,293,1,2,0,2,13,B26
461373,0,4,4,5,5,0,3,48,1,262,1,3,1,4,7,BL2
461373,1,4,4,5,5,0,3,51,2,0,1,3,0,4,7,BL2
461373,2,4,4,5,5,0,3,31,2,0,1,3,0,4,7,BL2
249731,0,5,4,5,6,0,4,51,1,374,1,2,1,5,13,B74
249731,1,5,4,5,6,0,4,53,2,266,1,1,0,5,13,B74
322087,0,4,3,4,4,2,4,51,2,0,99,3,1,2,13,B64
322087,1,4,3,4,4,2,4,49,1,305,99,3,0,2,13,B64
199607,0,1,1,7,4,0,4,76,2,326,1,3,1,1,13,B29
148451,0,2,4,7,2,0,4,83,1,216,1,1,0,2,13,B47
148451,1,2,4,7,2,0,4,85,2,221,1,1,1,2,13,B47
950750,0,3,3,5,4,0,4,71,1,0,1,2,1,3,13,B90
950750,1,3,3,5,4,0,4,74,2,0,1,1,0,3,13,B90
836217,2,4,5,5,0,0,3,52,1,226,1,2,1,4,13,M33
279105,0,2,4,7,1,0,4,63,1,333,7,2,0,2,13,WS2
279105,1,2,4,7,1,0,4,67,2,489,7,1,1,2,13,WS2
904878,0,2,3,6,4,0,3,63,2,240,1,2,1,2,13,M8
904878,1,2,3,6,4,0,3,63,1,286,1,2,0,2,13,M8
501114,0,3,5,5,3,0,3,63,1,225,1,2,1,3,7,M9
501114,1,3,5,5,3,0,3,78,2,230,1,2,0,3,7,M9
237359,0,3,3,5,4,0,4,65,1,207,1,3,1,3,12,B91
237359,1,3,3,5,4,0,4,69,2,0,1,3,0,3,12,B91
237359,3,3,3,5,4,0,4,25,2,0,1,2,0,3,12,B91
753794,0,8,4,4,4,3,4,54,1,234,1,2,1,5,13,WV14
753794,1,8,4,4,4,3,4,54,2,315,1,2,0,5,13,WV14
425000,0,2,1,6,3,0,4,55,1,252,1,2,1,2,13,B26
425000,1,2,1,6,3,0,4,59,2,441,1,2,0,2,13,B26
181237,0,2,5,7,2,0,4,77,1,254,1,1,1,2,2,DY2
181237,1,2,5,7,2,0,4,81,2,224,1,1,0,2,2,DY2
216903,0,2,6,7,0,0,4,75,1,227,1,2,1,2,13,B23
216903,5,2,6,7,0,0,4,44,2,216,1,2,0,2,13,B23
688385,0,2,3,7,0,0,4,72,1,191,3,1,1,2,13,B74
688385,1,2,3,7,0,0,4,74,2,203,3,3,0,2,13,B74
311374,0,1,3,7,2,0,4,73,1,244,1,2,1,1,13,B26
383280,0,2,3,7,3,0,4,80,1,245,12,2,1,2,6,B32
383280,1,2,3,7,3,0,4,74,2,225,12,2,0,2,6,B32
330423,0,2,3,6,7,0,3,62,1,233,12,3,1,2,11,M8
131973,0,2,3,7,0,0,3,68,1,352,1,2,1,2,11,M33
131973,1,2,3,7,0,0,3,71,2,361,1,3,0,2,11,M33
46300,0,3,4,5,0,0,3,73,1,0,1,2,1,3,13,M19
46300,1,3,4,5,0,0,3,75,2,0,1,2,0,3,13,M19
46300,3,3,4,5,0,0,3,40,1,0,1,2,0,3,13,M19
561287,0,2,3,6,3,0,4,56,1,252,1,2,1,2,7,CV7
561287,3,2,3,6,3,0,4,28,1,209,1,2,0,2,7,CV7
648336,0,2,3,7,3,0,4,72,1,0,1,1,1,2,12,B26
968826,0,2,5,7,2,0,3,79,1,205,1,2,1,2,13,M44
968826,1,2,5,7,2,0,3,80,2,184,1,1,0,2,13,M44
492777,0,2,4,7,0,0,4,77,1,228,1,2,1,2,13,B13
492777,1,2,4,7,0,0,4,79,2,219,1,2,0,2,13,B13
987630,0,2,3,7,8,0,4,72,1,213,1,3,1,2,13,WS1
987630,1,2,3,7,8,0,4,75,2,213,1,3,0,2,13,WS1
371490,0,2,3,7,4,0,4,75,1,218,1,2,1,2,13,DY9
371490,1,2,3,7,4,0,4,76,2,239,1,3,0,2,13,DY9
555215,0,2,5,7,2,0,3,72,1,312,1,1,1,2,13,M24
166741,0,3,3,5,0,0,3,72,1,301,1,2,1,3,13,M33
166741,1,3,3,5,0,0,3,75,2,244,1,2,0,3,13,M33
583177,0,2,3,7,4,0,4,66,1,251,1,2,1,2,13,B31
583177,6,2,3,7,4,0,4,63,2,266,1,2,0,2,13,B31
413589,0,2,3,7,2,0,3,68,1,306,1,1,0,2,13,M22
413589,1,2,3,7,2,0,3,71,2,281,1,2,1,2,13,M22
517484,0,1,3,7,2,0,4,78,1,302,1,3,1,1,13,B45
583298,0,6,5,5,1,0,3,66,1,282,0,2,1,6,9,M30
583298,1,6,5,5,1,0,3,69,2,343,0,2,0,6,9,M30
583298,2,6,5,5,1,0,3,47,2,0,0,2,0,6,9,M30
583298,4,6,5,5,1,0,3,42,1,0,0,2,0,6,9,M30
139697,0,2,3,6,0,0,4,60,1,230,1,3,1,2,13,B78
139697,1,2,3,6,0,0,4,65,2,301,1,3,0,2,13,B78
295671,0,2,5,7,0,0,3,72,1,186,1,3,1,2,12,WA3
295671,1,2,5,7,0,0,3,77,2,210,1,3,0,2,12,WA3
591574,0,2,3,7,2,0,4,69,1,372,1,1,1,2,13,B63
591574,1,2,3,7,2,0,4,67,2,331,1,2,0,2,13,B63
376315,0,2,3,6,5,0,3,59,1,278,1,3,1,2,1,BL4
376315,1,2,3,6,5,0,3,69,2,237,1,2,0,2,1,BL4
233640,0,5,3,5,7,0,4,64,1,213,4,2,1,5,6,B44
233640,3,5,3,5,7,0,4,41,1,246,4,3,0,5,6,B44
930886,0,2,3,7,0,0,3,65,1,236,1,3,1,2,13,WA15
930886,1,2,3,7,0,0,3,68,2,236,1,3,0,2,13,WA15
807775,0,2,3,7,4,0,3,65,2,253,1,2,1,2,12,M28
807775,1,2,3,7,4,0,3,65,1,281,1,2,0,2,12,M28
139589,0,3,3,5,3,0,4,62,1,0,1,2,1,3,13,B90
139589,2,3,3,5,3,0,4,68,2,0,1,2,0,3,13,B90
139589,3,3,3,5,3,0,4,29,2,0,1,3,0,3,13,B90
920036,0,4,3,5,6,0,4,59,1,249,1,2,1,4,9,B17
920036,1,4,3,5,6,0,4,67,2,295,1,2,0,4,9,B17
661963,0,3,3,5,0,0,4,70,1,328,4,1,1,3,13,WS2
661963,1,3,3,5,0,0,4,69,2,280,4,2,0,3,13,WS2
661963,3,3,3,5,0,0,4,38,2,0,4,1,0,3,13,WS2
466735,0,2,1,6,0,0,3,61,2,285,1,3,1,2,13,M33
466735,1,2,1,6,0,0,3,57,1,0,1,3,0,2,13,M33
780736,0,2,1,6,0,0,3,59,1,273,1,2,1,2,13,OL6
780736,1,2,1,6,0,0,3,70,2,291,1,3,0,2,13,OL6
214902,0,2,4,6,4,0,4,56,1,0,1,2,1,2,13,DY3
773138,0,2,4,7,3,0,4,67,1,285,1,2,1,2,13,B14
773138,4,2,4,7,3,0,4,66,2,0,1,2,0,2,13,B14
584317,0,1,3,6,4,0,4,57,1,233,1,3,1,1,5,B72
913726,0,4,4,3,4,1,4,60,1,354,1,2,1,3,11,B70
913726,1,4,4,3,4,1,4,60,2,297,1,2,0,3,11,B70
913726,3,4,4,3,4,1,4,27,1,224,1,2,0,3,11,B70
215184,0,4,3,5,0,0,3,57,1,0,1,2,1,4,13,M44
215184,1,4,3,5,0,0,3,53,2,0,1,1,0,4,13,M44
360661,0,2,5,6,3,0,4,57,1,216,1,3,1,2,12,B92
360661,1,2,5,6,3,0,4,57,2,233,1,3,0,2,12,B92
610693,0,4,1,5,4,0,3,62,1,411,1,3,1,4,12,M24
610693,1,4,1,5,4,0,3,58,2,273,1,3,0,4,12,M24
303700,1,1,6,7,0,0,3,71,2,350,1,1,1,1,13,WA3
30657,0,3,3,5,0,0,3,58,1,0,1,2,1,3,10,M33
891141,0,4,4,5,8,0,4,58,2,313,1,2,0,4,13,B63
891141,1,4,4,5,8,0,4,59,1,273,1,2,1,4,13,B63
891141,2,4,4,5,8,0,4,23,2,264,1,3,0,4,13,B63
646785,0,3,1,1,5,0,4,44,1,0,1,3,1,3,13,B14
646785,1,3,1,1,5,0,4,51,2,0,1,3,0,3,13,B14
646785,2,3,1,1,5,0,4,26,1,0,1,3,0,3,13,B14
326607,0,2,5,7,0,0,4,73,2,0,1,2,1,2,12,B43
326607,1,2,5,7,0,0,4,69,1,0,1,2,0,2,12,B43
686907,0,2,6,7,0,0,4,81,1,227,1,3,1,2,13,B74
686907,1,2,6,7,0,0,4,82,2,237,1,3,0,2,13,B74
237730,0,2,4,7,0,0,4,70,1,248,99,1,1,2,13,B32
237730,1,2,4,7,0,0,4,71,2,280,99,1,0,2,13,B32
626915,1,1,4,7,2,0,3,75,2,317,1,2,1,1,12,OL4
299945,0,1,6,7,0,0,3,76,1,257,1,2,1,1,13,OL2
342661,0,1,3,6,3,0,4,63,2,218,1,3,1,1,13,B30
580010,0,1,3,7,0,0,4,70,1,182,1,3,1,1,13,B71
195832,0,2,3,7,3,0,4,82,1,376,0,3,1,2,10,B42
195832,2,2,3,7,3,0,4,61,1,256,0,3,0,2,10,B42
393133,0,2,1,7,3,0,3,77,2,340,1,2,1,2,13,M38
393133,1,2,1,7,3,0,3,78,1,287,1,1,0,2,13,M38
495132,0,2,1,7,4,0,4,81,2,226,1,3,1,2,12,B46
37740,0,2,1,7,4,0,3,83,2,224,1,3,1,2,13,SK4
37740,1,2,1,7,4,0,3,84,1,209,1,3,0,2,13,SK4
539023,1,1,3,7,3,0,4,65,1,265,1,2,1,1,13,DY4
107301,0,1,5,6,2,0,3,61,2,277,1,2,1,1,12,OL11
463517,0,1,3,7,2,0,4,92,1,309,1,1,1,1,8,B48
676677,0,2,5,6,0,0,4,52,2,263,1,2,1,2,9,B14
676677,2,2,5,6,0,0,4,22,1,0,1,4,0,2,9,B14
890258,0,1,3,7,3,0,4,81,1,289,1,1,1,1,13,B43
421198,1,3,5,5,0,0,4,86,2,266,1,2,1,3,13,B28
421198,2,3,5,5,0,0,4,63,1,254,1,2,0,3,13,B28
421198,3,3,5,5,0,0,4,65,2,234,1,2,0,3,13,B28
311893,0,2,5,7,2,0,4,72,1,213,1,2,1,2,11,CV7
311893,1,2,5,7,2,0,4,82,2,247,1,2,0,2,11,CV7
888726,0,3,1,5,0,0,4,72,1,318,1,3,1,3,13,B74
888726,1,3,1,5,0,0,4,72,2,244,1,3,0,3,13,B74
888726,2,3,1,5,0,0,4,40,2,238,1,3,0,3,13,B74
740754,0,1,3,6,0,0,4,54,1,0,1,3,1,1,13,B61
153670,0,1,6,7,1,0,3,71,1,216,1,3,1,1,11,OL4
529274,0,2,3,6,7,0,4,64,2,342,3,3,1,2,13,B63
529274,1,2,3,6,7,0,4,65,2,293,3,3,0,2,13,B63
722351,0,3,4,5,1,0,4,53,1,302,1,3,1,3,7,B28
722351,2,3,4,5,1,0,4,20,1,333,1,2,0,3,7,B28
722351,3,3,4,5,1,0,4,17,2,220,1,2,0,3,7,B28
696807,0,3,1,4,8,1,4,54,2,244,1,1,1,2,1,DY1
696807,1,3,1,4,8,1,4,55,1,0,1,2,0,2,1,DY1
179737,0,2,1,7,7,0,4,76,1,272,1,2,1,2,12,B93
179737,1,2,1,7,7,0,4,76,2,260,1,2,0,2,12,B93
451099,0,3,4,5,7,0,4,60,1,296,1,3,1,3,11,WS1
451099,1,3,4,5,7,0,4,64,2,310,1,2,0,3,11,WS1
119396,0,2,4,6,0,0,3,48,1,249,1,2,1,2,13,BL3
119396,1,2,4,6,0,0,3,50,2,369,1,1,0,2,13,BL3
566178,0,2,4,6,5,0,3,47,1,0,1,2,1,2,13,M24
566178,1,2,4,6,5,0,3,49,2,0,1,2,0,2,13,M24
493378,0,2,3,6,6,0,3,49,1,0,1,3,1,2,12,BL1
493378,1,2,3,6,6,0,3,66,2,0,1,2,0,2,12,BL1
