rst_4_extended,new_tag,source,matched_term,original_validation_field_title
Air Freshener Aerosols,,unmapped,,
Air Fresheners Candle,,unmapped,,
Air Fresheners Non-Barcoded,,unmapped,,
Block Air Fresheners,,unmapped,,
Carpet Air Fresheners,,unmapped,,
Continuous Air Fresheners,,unmapped,,
Dishwasher Freshener,,unmapped,,
Other Types Air Freshener,Eggs; other bird; in shell,food_commodity_token,eggs  other bird  in shell,
Vacuum Fresheners,,unmapped,,
Ambient Cakes Cake Bars,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Cake Portions,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Cheesecake,Cheese,food_commodity_phrase,cheese,cakes & pastries
Ambient Cakes Flapjack,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes ISB Cookies,biscuits - isb cookies,original_mapping,biscuits   isb cookies,biscuits - isb cookies
Ambient Cakes Large Pies,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Large Swiss Roll,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Large Tarts,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Large Whole Cake,Milk; whole fresh cow,food_commodity_token,milk  whole fresh cow,cakes & pastries
Ambient Cakes Malt/Fruit Loave,Fruit; tropical fresh nes,food_commodity_token,fruit  tropical fresh nes,cakes & pastries
Ambient Cakes Muffins,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Other Cakes,Eggs; other bird; in shell,food_commodity_token,eggs  other bird  in shell,cakes & pastries
Ambient Cakes Slab/Cut Cakes,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Slices,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Small Cakes,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Small Pies,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
Ambient Cakes Small Swiss Roll,cakes & pastries,original_mapping,cakes   pastries,cakes & pastries
